; 01/07/2020; 02/07/2020; 03/07/2020; 06/07/2020; 07/07/2020; 08/07/2020; 09/07/2020; 10/07/2020; 13/07/2020; 14/07/2020; 15/07/2020; 16/07/2020; 17/07/2020; 20/07/2020; 21/07/2020; 22/07/2020; 23/07/2020; 24/07/2020; 27/07/2020; 28/07/2020; 29/07/2020; 30/07/2020; 31/07/2020; TOTAL
; Quarta; Quinta; Sexta; Segunda; Terça; Quarta; Quinta; Sexta; Segunda; Terça; Quarta; Quinta; Sexta; Segunda; Terça; Quarta; Quinta; Sexta; Segunda; Terça; Quarta; Quinta; Sexta;
Saldo Anterior;10,35;1.702,40;10,35;10,35;9.043,24;10,35;285,47;10,35;80,57;338,3;207,16;130,19;659,68;36,71;689,02;407,09;406,84;406,84;406,84;2.873,39;10,35;10,35;10,35;
RECEITAS;1.692,05;0;1.342,00;9.032,89;0;11.895,42;4.491,01;70,22;327,95;15.905,33;119,84;32.199,57;26,36;678,42;0;0;0;0;2.863,04;21.892,20;0;1.508,87;1.692,03;105.737,20
Cliente Faturado;0;0;1.342,00;0;0;0;0;0;0;0;0;1.368,39;0;0;0;0;0;0;0;0;0;0;0;2.710,39
Cartão;1.692,05;0;0;9.032,89;0;275,12;0;70,22;327,95;196,81;119,84;649,33;26,36;678,42;0;0;0;0;0;0;0;0;1.692,03;14.761,02
Caixa Disponível;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Recebimento Antecipado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Outros Recebimentos;0;0;0;0;0;11.620,30;4.491,01;0;0;15.708,52;0;30.181,85;0;0;0;0;0;0;2.863,04;21.892,20;0;1.508,87;0;88.265,79
DESPESAS;-7.247,81;-16.853,49;-4.261,26;-10.866,60;-34.497,15;0;0;-74.176,45;-37.943,14;-5.122,94;-33.433,94;-12.462,39;-3.443,77;-60.752,70;-56.255,60;-23.861,07;-144;-5.710,57;-10.274,32;-1.894,64;-9.151,29;-32.068,85;-151.223,10;-591.645,08
Salários;0;0;0;0;-325,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-124.856,91;-125.182,80
Benefícios;0;0;0;-2.705,71;0;0;0;-63.850,95;0;-3.525,50;-6.992,00;0;0;0;0;-7.007,58;0;0;0;-398,2;0;-2.411,30;-4.189,03;-91.080,27
Encargos;0;0;0;0;-17.878,70;0;0;-210;0;0;0;0;0;-30.166,82;0;0;0;0;0;0;0;0;0;-48.255,52
Aluguel / Condomínio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Distribuição Dividendos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fornecedores Serviços Contratados;-5.231,71;-16.853,49;-1.511,41;-8.098,99;-16.292,56;0;0;-10.115,50;-12.096,63;-1.597,44;-24.362,19;-10.079,79;-3.443,77;-6.435,08;-289,44;-16.853,49;-144;-5.710,57;-10.232,43;-1.496,44;-1.383,00;-24.579,51;-22.177,16;-198.984,60
IMPOSTOS;0;0;-2.749,85;0;0;0;0;0;0;0;0;-2.382,60;0;-24.150,80;0;0;0;0;0;0;0;0;0;-29.283,25
IRRF;0;0;0;0;0;0;0;0;0;0;0;0;0;-6.056,14;0;0;0;0;0;0;0;0;0;-6.056,14
CSSL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INSS s/ Terceiros;0;0;0;0;0;0;0;0;0;0;0;0;0;-11.231,48;0;0;0;0;0;0;0;0;0;-11.231,48
PIS;0;0;0;0;0;0;0;0;0;0;0;0;0;-223,76;0;0;0;0;0;0;0;0;0;-223,76
COFINS;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.661,09;0;0;0;0;0;0;0;0;0;-3.661,09
ICMS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IPTU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ISSQN;0;0;-2.749,85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.749,85
Outros;0;0;0;0;0;0;0;0;0;0;0;-2.382,60;0;-2.978,33;0;0;0;0;0;0;0;0;0;-5.360,93
Utilidades;0;0;0;0;0;0;0;0;-25.846,51;0;-2.079,75;0;0;0;-55.966,16;0;0;0;-41,89;0;-7.768,29;-5.078,04;0;-96.780,64
Fee Golden Tulip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tarifas Bancárias;-2.016,10;0;0;-61,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.078,00
O P E R A C I O N A L 1;-5.555,76;-16.853,49;-2.919,26;-1.833,71;-34.497,15;11.895,42;4.491,01;-74.106,23;-37.615,19;10.782,39;-33.314,10;19.737,18;-3.417,41;-60.074,28;-56.255,60;-23.861,07;-144;-5.710,57;-7.411,28;19.997,56;-9.151,29;-30.559,98;-149.531,07;-485.907,88
Capex;-66.163,10;0;0;-3.048,00;0;-2.840,48;0;0;-12.108,91;0;0;0;0;-7.924,02;0;-2.014,96;0;0;-838,75;0;0;-2.200,00;0;-97.138,22
M E A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O P E R A C I O N A L 2;-71.718,86;-16.853,49;-2.919,26;-4.881,71;-34.497,15;9.054,94;4.491,01;-74.106,23;-49.724,10;10.782,39;-33.314,10;19.737,18;-3.417,41;-67.998,30;-56.255,60;-25.876,03;-144;-5.710,57;-8.250,03;19.997,56;-9.151,29;-32.759,98;-149.531,07;-583.046,10
Despesas Financeiras;0;0;0;0;0;0;0;0;0;0;0;-33,1;0;0;0;0;0;0;0;0;0;0;-4,25;-37,35
(-) Intercompany entre Coligadas;0;0;0;0;0;0;-4.766,13;0;0;-12.510,97;0;-21.266,75;0;0;0;0;0;0;0;-968,4;0;0;0;-39.512,25
(+) Intercompany entre Coligadas;73.410,91;15.161,44;3.527,93;14.804,70;25.464,26;2.000,00;0;74.176,45;38.147,59;1.597,44;33.237,13;0;2.794,44;68.650,61;55.973,67;25.861,07;144;5.710,57;10.940,33;0;9.151,29;157.416,89;26.366,19;644.536,91
(-) Mútuo entre Coligadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(+) Mútuo entre Coligadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aplicação;0;0;-608,67;-942;0;-10.779,82;0;0;0;0;0;0;0;0;0;0;0;0;-223,75;-21.892,20;0;-124.856,91;0;-159.303,35
Resgate;0;0;0;51,9;0;0;0;0;11.833,79;0;0;2.091,93;0;0;0;14,71;0;0;0;0;0;199,96;124.844,62;139.036,91
Receita Financeira;0;0;0;0;0;0;0;0;0,45;0;0;0,23;0;0;0;0;0;0;0;0;0;0,04;16,71;17,43
(-) Afac;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(+) Afac;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transferências entre Contas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transferências Bancárias entre Contas (-);0;-1.692,05;0;0;-9.032,89;0;-275,12;0;-70,22;-327,95;-196,81;-9.119,84;-649,33;-26,36;-281,93;0;0;0;-396,49;-2.863,04;0;-124.856,91;0;-149.788,94
Transferências Bancárias entre  Contas (+);0;1.692,05;0;0;9.032,89;0;275,12;0;70,22;327,95;196,81;9.119,84;649,33;26,36;281,93;0;0;0;396,49;2.863,04;0;124.856,91;0;149.788,94
Saldo a Transportar;1.702,40;10,35;10,35;9.043,24;10,35;285,47;10,35;80,57;338,3;207,16;130,19;659,68;36,71;689,02;407,09;406,84;406,84;406,84;2.873,39;10,35;10,35;10,35;1.702,55;1.702,55
--> Saldo das Contas;;;;;;;;;;;;;;;;;;;;;;;;
    ITAU AG 0269 CC 05670-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
    ITAU AG 0269 CC 08606-2;10;10;10;10;10;10;10;10;10;10;10;10;10;10,25;10,25;10;10;10;10;10;10;10;10;
    ITAU AG 2938 CC 27802-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
    ITAU AG 8541 CC 24285-8;1.692,05;0;0;9.032,89;0;275,12;0;70,22;327,95;196,81;119,84;649,33;26,36;678,42;396,49;396,49;396,49;396,49;2.863,04;0;0;0;1.692,03;
    SANTANDER AG 2263 CC 13052698-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
    - Total dos Bancos;1.702,05;10;10;9.042,89;10;285,12;10;80,22;337,95;206,81;129,84;659,33;36,36;688,67;406,74;406,49;406,49;406,49;2.873,04;10;10;10;1.702,03;
    - Conciliações Pendentes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
    - Saídas pendentes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
    - Total Disponível;1.702,05;10;10;9.042,89;10;285,12;10;80,22;337,95;206,81;129,84;659,33;36,36;688,67;406,74;406,49;406,49;406,49;2.873,04;10;10;10;1.702,03;
    - Diferença;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,52;
